category,amt,gender,city_pop,day_of_week,time_of_day,region,season,age_group
home,7.82,F,888,Saturday,late afternoon,Midwest,Fall,19-35
entertainment,78.08,M,1453,Thursday,evening,Northeast,Winter,36-50
health_fitness,74.96,M,110,Saturday,night,West,Fall,36-50
food_dining,76.89,F,6841,Saturday,early afternoon,South,Fall,19-35
food_dining,99.13,F,331,Sunday,night,Midwest,Spring,66-plus
grocery_pos,114.12,F,917,Wednesday,late morning,West,Spring,19-35
shopping_pos,5.39,F,2368,Monday,early afternoon,Midwest,Summer,19-35
gas_transport,52.94,F,6629,Wednesday,late night,South,Summer,51-65
gas_transport,80.14,F,163415,Thursday,early morning,Midwest,Winter,Under-18
misc_pos,39.72,M,341,Friday,early morning,Midwest,Winter,36-50
misc_pos,30.8,M,395,Sunday,late night,South,Summer,36-50
home,12.58,F,260,Sunday,night,West,Summer,51-65
shopping_pos,6.96,F,888,Saturday,night,Midwest,Fall,19-35
gas_transport,40.24,M,258,Tuesday,late morning,South,Summer,66-plus
misc_pos,155.52,F,1523,Monday,evening,South,Fall,19-35
gas_transport,96.04,M,7297,Monday,late night,Midwest,Winter,19-35
misc_pos,801.88,M,10717,Thursday,early morning,Northeast,Summer,66-plus
kids_pets,85.04,M,190178,Thursday,late afternoon,South,Spring,36-50
kids_pets,22.34,F,1810,Monday,early afternoon,Midwest,Summer,36-50
entertainment,2.72,F,3862,Friday,late night,South,Summer,51-65
shopping_pos,6.62,F,1019,Sunday,evening,Midwest,Spring,36-50
food_dining,53.96,M,1453,Tuesday,evening,Northeast,Spring,36-50
entertainment,59.18,F,84106,Friday,night,West,Fall,36-50
grocery_net,49.7,M,828,Sunday,late night,Midwest,Summer,19-35
misc_pos,13.72,F,4575,Friday,late morning,South,Winter,19-35
home,8.65,F,733,Sunday,early afternoon,Midwest,Summer,19-35
shopping_pos,133.5,M,1201,Monday,late night,Midwest,Winter,36-50
gas_transport,74.45,M,6006,Tuesday,late night,South,Spring,19-35
grocery_pos,99.78,M,1453,Tuesday,early morning,Northeast,Fall,36-50
gas_transport,60.05,F,4845,Monday,late morning,Northeast,Spring,66-plus
shopping_pos,140.17,M,832,Tuesday,late morning,West,Winter,19-35
shopping_pos,5.09,F,736284,Saturday,late night,South,Spring,51-65
food_dining,118.51,F,35371,Monday,early afternoon,West,Summer,19-35
gas_transport,50.99,M,626,Tuesday,late night,South,Winter,51-65
kids_pets,15.87,M,158701,Wednesday,night,South,Summer,36-50
shopping_pos,8.85,M,38912,Tuesday,late morning,Northeast,Summer,51-65
personal_care,7.35,F,1420,Monday,evening,West,Spring,51-65
kids_pets,48.6,M,349,Saturday,late afternoon,Midwest,Fall,36-50
kids_pets,13.31,M,798,Tuesday,late afternoon,South,Spring,66-plus
grocery_pos,99.88,F,1675,Saturday,early morning,South,Winter,19-35
health_fitness,19.47,M,680,Thursday,early afternoon,Midwest,Spring,51-65
food_dining,21.9,M,60,Thursday,late afternoon,West,Spring,66-plus
misc_pos,16.44,F,5216,Friday,early morning,South,Winter,19-35
travel,3.05,M,687276,Wednesday,late afternoon,Northeast,Summer,36-50
misc_pos,38.99,F,1383,Wednesday,early afternoon,South,Spring,19-35
home,41.46,F,241,Sunday,evening,Midwest,Fall,36-50
shopping_pos,2.07,F,181438,Monday,late morning,South,Summer,66-plus
kids_pets,48.93,F,16183,Wednesday,night,South,Spring,36-50
gas_transport,54.04,F,836,Monday,late night,South,Fall,36-50
grocery_net,80.41,F,123373,Tuesday,late night,Midwest,Fall,19-35
food_dining,66.39,M,55345,Saturday,late afternoon,South,Winter,66-plus
grocery_pos,182.62,F,34496,Thursday,late night,Northeast,Spring,36-50
misc_pos,25.51,F,1643,Tuesday,night,Northeast,Winter,36-50
misc_net,5.46,M,3766,Saturday,early morning,South,Summer,36-50
shopping_net,93.67,M,626,Monday,early morning,South,Winter,51-65
shopping_net,103.35,M,341,Saturday,late morning,Midwest,Spring,36-50
kids_pets,4.09,F,34153,Sunday,night,South,Spring,19-35
food_dining,33.7,M,3279,Tuesday,night,Northeast,Fall,36-50
entertainment,7.42,M,13835,Thursday,early morning,Northeast,Summer,51-65
shopping_pos,138.82,F,460,Sunday,early afternoon,Midwest,Spring,Under-18
gas_transport,49.37,M,633,Thursday,early morning,West,Winter,66-plus
home,93.82,F,1745,Friday,early afternoon,Midwest,Winter,36-50
grocery_net,32.87,M,93193,Sunday,late morning,West,Fall,19-35
gas_transport,56.23,M,7268,Tuesday,late night,West,Fall,19-35
personal_care,133.35,F,2526,Thursday,night,South,Fall,36-50
health_fitness,119.89,M,376,Saturday,early afternoon,South,Summer,66-plus
food_dining,5.63,M,470,Saturday,evening,South,Spring,51-65
shopping_net,1044.58,F,1423,Friday,night,Midwest,Spring,19-35
grocery_net,30.52,M,71335,Monday,late night,South,Winter,19-35
shopping_net,475.26,F,165,Wednesday,late night,Northeast,Summer,66-plus
travel,4.3,F,4056,Friday,early afternoon,Northeast,Fall,19-35
shopping_pos,359.29,F,71485,Monday,night,Northeast,Winter,36-50
food_dining,73.79,F,71485,Sunday,late afternoon,Northeast,Spring,36-50
entertainment,54.17,F,606,Saturday,evening,West,Winter,19-35
home,88.22,M,1453,Tuesday,early afternoon,Northeast,Spring,36-50
grocery_pos,129.58,F,1271,Monday,early morning,Northeast,Summer,51-65
entertainment,32.01,F,6120,Friday,evening,Northeast,Spring,36-50
home,41.99,F,77,Sunday,early afternoon,Midwest,Spring,19-35
health_fitness,73.03,M,49,Monday,early afternoon,West,Summer,36-50
gas_transport,49.51,F,313,Monday,early morning,South,Winter,36-50
shopping_net,30.18,F,581,Wednesday,late night,South,Summer,51-65
kids_pets,12.96,F,1368,Tuesday,late afternoon,Northeast,Spring,36-50
grocery_pos,120.44,F,1363,Sunday,early morning,South,Fall,66-plus
entertainment,99.45,M,6006,Tuesday,night,South,Summer,19-35
grocery_pos,87.37,F,504,Wednesday,early morning,Northeast,Spring,36-50
gas_transport,26.88,F,51,Sunday,late morning,Midwest,Spring,51-65
health_fitness,51.1,M,4354,Wednesday,evening,Northeast,Winter,19-35
health_fitness,155.68,M,3263,Thursday,early afternoon,South,Summer,66-plus
health_fitness,105.91,M,341043,Sunday,early afternoon,South,Winter,19-35
misc_pos,113.35,F,391389,Friday,early morning,South,Spring,19-35
travel,9.52,M,47,Friday,early afternoon,Northeast,Summer,66-plus
grocery_pos,79.91,M,3766,Thursday,early morning,South,Spring,36-50
travel,3.19,M,76,Thursday,evening,Midwest,Summer,51-65
grocery_pos,184.52,F,378909,Saturday,late night,South,Summer,36-50
entertainment,151.29,M,633,Saturday,early afternoon,West,Spring,66-plus
misc_net,7.82,F,338,Saturday,late morning,Midwest,Winter,19-35
grocery_pos,110.44,M,566,Friday,late morning,Midwest,Spring,36-50
personal_care,12.88,M,176,Sunday,night,Northeast,Summer,51-65
shopping_pos,5.88,F,888,Tuesday,night,Midwest,Fall,19-35
gas_transport,47.84,F,4845,Monday,early morning,Northeast,Spring,66-plus
health_fitness,27.46,M,267,Sunday,early afternoon,Midwest,Summer,Under-18
misc_net,7.94,M,532,Thursday,late night,Midwest,Summer,51-65
grocery_pos,88.01,M,1858,Tuesday,late night,Northeast,Summer,36-50
gas_transport,57.06,F,1745,Wednesday,late night,Midwest,Spring,36-50
